,tweet,date,id,location,id_user,score,Country,Country_real,Compound
878,RT @BillyBaldwin: Retweet if you pronouns are Boycott/ Tesla.,2022-12-11 23:58:40+00:00,1602090522994044928,las vegas,489429626,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",las vegas,United States,0.0
879,RT @Michael34282999: @aravosis @Tesla @SpaceX I was looking at Teslas before his purchase of Twitter. The Fauci tweet tore it. I will never…,2022-12-11 23:58:40+00:00,1602090521962631168,,1325459878177955842,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",,,0.0
880,@stuartpstevens COVID broke him or brought out the real Elon. I planned on making a Tesla my next vehicle and even… https://t.co/RuUQMOz36D,2022-12-11 23:58:38+00:00,1602090513204580352,5280,105683476,"{'neg': 0.128, 'neu': 0.872, 'pos': 0.0, 'compound': -0.4215}",5280,Australia,-0.4215
881,"@SLCSocialist ""I punched that in and now my smart house won't let me in it &amp; my Tesla drove off somewhere!""",2022-12-11 23:58:36+00:00,1602090504660869120,Canada,1462262769252720643,"{'neg': 0.0, 'neu': 0.87, 'pos': 0.13, 'compound': 0.4574}",Canada,Canada,0.4574
882,"RT @pwittaya: เบื้องหลังTesla จาก Headlightmag
-เดิมจะลงทุนในอินเดียแต่ขอรัฐบาลซับซิไดซ์ไม่ได้เลยยกเลิกเปลี่ยนแผนมาลงบ้านเราเร็วกว่ากำหนด
-…",2022-12-11 23:58:35+00:00,1602090501544763392,,1475141823085432836,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",,,0.0
883,"RT @stuartpstevens: To all the Tesla owners out there, do you really want to support a man who has Steve Bannon’s politics with Donald Trum…",2022-12-11 23:58:35+00:00,1602090500751695872,Nevada,14776074,"{'neg': 0.0, 'neu': 0.828, 'pos': 0.172, 'compound': 0.5509}",Nevada,United States,0.5509
884,RT @BillyBaldwin: Retweet if you pronouns are Boycott/ Tesla.,2022-12-11 23:58:35+00:00,1602090500512796672,"Georgia, USA",1349520508971323392,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Georgia USA,United States,0.0
885,"RT @stuartpstevens: To all the Tesla owners out there, do you really want to support a man who has Steve Bannon’s politics with Donald Trum…",2022-12-11 23:58:34+00:00,1602090498352619528,New York,1276590634795708418,"{'neg': 0.0, 'neu': 0.828, 'pos': 0.172, 'compound': 0.5509}",New York,United States,0.5509
886,@SortaBad If literally anyone else owned Tesla I’d have one,2022-12-11 23:58:34+00:00,1602090496184446977,,192666876,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",,,0.0
887,@DBMillerIMO I might consider buying a Tesla now that Musk has taken over Twitter.,2022-12-11 23:58:33+00:00,1602090492275331072,,29517735,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",,,0.0
888,@Martyupnorth_2 I’m sick of hearing people representing Canadians and our country talk ill of Canadians. Elon has C… https://t.co/UJK1hAGg3W,2022-12-11 23:58:28+00:00,1602090473061232640,Canada,1490041951369973771,"{'neg': 0.264, 'neu': 0.736, 'pos': 0.0, 'compound': -0.7269}",Canada,Canada,-0.7269
889,@LitterickB @GhostFletch @extravatrek @truth_tesla @DirtyTesLa @elonmusk @F1Womble A fact is a fact.,2022-12-11 23:58:28+00:00,1602090472675368960,,2955382686,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",,,0.0
890,RT @BillyBaldwin: Retweet if you pronouns are Boycott/ Tesla.,2022-12-11 23:58:28+00:00,1602090471114809345,"New Orleans, LA",74830264,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",New Orleans LA,United States,0.0
891,@NotMsJennyLopez @baddriver20202 @LucidMotors @elonmusk How do you spell 1000 lb gorilla? Easy… PIF. #LCID going no… https://t.co/d0Ub5s70IU,2022-12-11 23:58:27+00:00,1602090468049059840,,1449515444264603649,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",,,0.0
892,"RT @TheUSASingers: Block all Twitter advertisers, trade in your Tesla, and cancel Twitter Blue.

We need to hit Space Karen in the only pla…",2022-12-11 23:58:23+00:00,1602090451011526656,,1048530829775970305,"{'neg': 0.182, 'neu': 0.818, 'pos': 0.0, 'compound': -0.5994}",,,-0.5994
893,RT @Esqueer_: Twitter is a Tesla fire. https://t.co/tzdFRBmBfP,2022-12-11 23:58:23+00:00,1602090450722033664,"Woop-Woop, Australia",1314016039726850048,"{'neg': 0.286, 'neu': 0.714, 'pos': 0.0, 'compound': -0.34}",WoopWoop Australia,,-0.34
894,"RT @duty2warn: Steve Martin pretending to give a eulogy for Martin Short on SNL:
“I’ll never forget Martin’s last words: ‘Tesla autopilot e…",2022-12-11 23:58:23+00:00,1602090449954652160,,327404086,"{'neg': 0.0, 'neu': 0.867, 'pos': 0.133, 'compound': 0.2654}",,,0.2654
